instance,method,run,utility,cpu_time
MC-CSSP-M,QIDDM-full,0,0.6494643478859783,2.5368396000003486
MC-CSSP-M,QIDDM-full,1,0.6473066106585024,2.484016200000042
MC-CSSP-M,QIDDM-full,2,0.6494643478859783,2.2698600000003353
MC-CSSP-M,QIDDM-full,3,0.6484548265058726,2.3385848999996597
MC-CSSP-M,QIDDM-full,4,0.6484548265058726,2.4183333000000857
MC-CSSP-M,QIDDM-full,5,0.6484548265058726,2.2336648999998943
MC-CSSP-M,QIDDM-full,6,0.6494643478859783,2.2689905000006547
MC-CSSP-M,QIDDM-full,7,0.6473066106585024,2.158263299999817
MC-CSSP-M,QIDDM-full,8,0.6484548265058726,2.185001900000316
MC-CSSP-M,QIDDM-full,9,0.6473066106585024,2.232148600000073
MC-CSSP-M,QIDDM-full,10,0.6494643478859783,2.217793700000584
MC-CSSP-M,QIDDM-full,11,0.6494643478859783,2.3058584000000337
MC-CSSP-M,QIDDM-full,12,0.6494643478859783,2.2604873000000225
MC-CSSP-M,QIDDM-full,13,0.6473066106585024,2.411019799999849
MC-CSSP-M,QIDDM-full,14,0.6484548265058726,2.444265500000256
MC-CSSP-M,QIDDM-full,15,0.6484548265058726,2.22361600000022
MC-CSSP-M,QIDDM-full,16,0.6473066106585024,2.207120500000201
MC-CSSP-M,QIDDM-full,17,0.6484548265058726,2.186290900000131
MC-CSSP-M,QIDDM-full,18,0.6484548265058726,2.1882395999991786
MC-CSSP-M,QIDDM-full,19,0.6484548265058726,2.2973425000000134
MC-CSSP-M,QIDDM-noDyn,0,0.6473066106585024,2.2512102999999115
MC-CSSP-M,QIDDM-noDyn,1,0.6473066106585024,2.1965741999993043
MC-CSSP-M,QIDDM-noDyn,2,0.6473066106585024,2.1927221000005375
MC-CSSP-M,QIDDM-noDyn,3,0.6473066106585024,2.204736700000467
MC-CSSP-M,QIDDM-noDyn,4,0.6484548265058726,2.1881741000006514
MC-CSSP-M,QIDDM-noDyn,5,0.6484548265058726,2.2445455000006405
MC-CSSP-M,QIDDM-noDyn,6,0.6494643478859783,2.2044074999994336
