instance,method,util_mean,util_std,util_best,cpu_mean,iter_mean
MC-CSSP-L,AHP,0.6301,,0.6301,0.0006,0.0
MC-CSSP-L,GA,0.6013,0.0072,0.6144,2.7286,61.7
MC-CSSP-L,PSO,0.6194,0.0053,0.6294,2.3295,83.2
MC-CSSP-L,QEA,0.653,0.0123,0.6666,2.3986,106.5
MC-CSSP-L,QIDDM,0.6792,0.0019,0.6854,2.3396,24.8
MC-CSSP-L,TOPSIS,0.6713,,0.6713,0.0006,0.0
MC-CSSP-M,AHP,0.6403,,0.6403,0.0008,0.0
MC-CSSP-M,GA,0.6092,0.0081,0.6316,2.3848,75.4
MC-CSSP-M,PSO,0.6271,0.0062,0.6403,2.2975,77.45
MC-CSSP-M,QEA,0.6423,0.0056,0.6495,2.3403,51.2
MC-CSSP-M,QIDDM,0.6485,0.0008,0.6495,2.8766,21.65
MC-CSSP-M,TOPSIS,0.6313,,0.6313,0.0009,0.0
MC-CSSP-RW,AHP,0.6159,,0.6159,0.0004,0.0
MC-CSSP-RW,GA,0.6049,0.0052,0.6176,2.2706,66.6
MC-CSSP-RW,PSO,0.6189,0.0029,0.6234,2.0055,75.85
MC-CSSP-RW,QEA,0.6239,0.0035,0.6281,1.9442,41.5
MC-CSSP-RW,QIDDM,0.6259,0.0022,0.6281,2.1903,43.75
MC-CSSP-RW,TOPSIS,0.5448,,0.5448,0.0005,0.0
MC-CSSP-S,AHP,0.6376,,0.6376,0.0005,0.0
MC-CSSP-S,EXACT,0.6498,,0.6498,50.6517,0.0
MC-CSSP-S,GA,0.6348,0.0095,0.6498,2.5824,35.8
MC-CSSP-S,PSO,0.6487,0.0012,0.6498,2.42,53.85
MC-CSSP-S,QEA,0.6461,0.0045,0.6498,2.185,13.8
MC-CSSP-S,QIDDM,0.6486,0.0008,0.6498,2.6063,10.55
MC-CSSP-S,TOPSIS,0.6182,,0.6182,0.0008,0.0
MC-CSSP-XL,AHP,0.6808,,0.6808,0.0009,0.0
MC-CSSP-XL,GA,0.6039,0.0066,0.615,2.8425,64.8
MC-CSSP-XL,PSO,0.6083,0.005,0.6222,2.5752,67.2
MC-CSSP-XL,QEA,0.6454,0.008,0.6548,2.5399,112.95
MC-CSSP-XL,QIDDM,0.6803,0.0025,0.6889,2.8137,43.2
MC-CSSP-XL,TOPSIS,0.6728,,0.6728,0.0011,0.0
