instance,method,util_mean,util_std,util_best,cpu_mean,iter_mean,cost_mean,quality_mean,lead_time_mean,reliability_mean
MC-CSSP-L,AHP,0.6301,,0.6301,0.0005,0.0,72.0285,84.3643,24.5518,0.8311
MC-CSSP-L,GA,0.6013,0.0072,0.6144,2.9243,61.7,76.0538,80.5645,22.7168,0.8241
MC-CSSP-L,PSO,0.6194,0.0053,0.6294,2.1712,83.2,76.2039,80.0803,19.9315,0.8188
MC-CSSP-L,QIDDM,0.6792,0.0019,0.6854,4.9723,24.8,72.9016,82.9448,18.6716,0.8421
MC-CSSP-L,TOPSIS,0.6713,,0.6713,0.0005,0.0,67.2101,80.1714,15.9353,0.7751
MC-CSSP-M,AHP,0.6403,,0.6403,0.0008,0.0,61.7762,75.8603,22.212,0.8534
MC-CSSP-M,GA,0.6092,0.0081,0.6316,3.0641,75.4,68.6694,76.3004,22.2019,0.8461
MC-CSSP-M,PSO,0.6271,0.0062,0.6403,2.5339,77.45,66.3115,75.3844,20.8194,0.8446
MC-CSSP-M,QIDDM,0.6485,0.0008,0.6495,4.096,21.65,63.6581,75.8793,21.4412,0.8689
MC-CSSP-M,TOPSIS,0.6313,,0.6313,0.0008,0.0,68.2615,73.5551,15.3035,0.7993
MC-CSSP-S,AHP,0.6376,,0.6376,0.0009,0.0,80.0893,87.0911,21.3097,0.823
MC-CSSP-S,GA,0.6348,0.0095,0.6498,3.7248,35.8,82.1469,85.6611,20.5866,0.8313
MC-CSSP-S,PSO,0.6487,0.0012,0.6498,3.281,53.85,82.9499,85.6504,18.7009,0.8259
MC-CSSP-S,QIDDM,0.6486,0.0008,0.6498,4.356,10.55,81.8125,86.2138,19.5705,0.8272
MC-CSSP-S,TOPSIS,0.6182,,0.6182,0.0015,0.0,73.6309,83.8457,21.3097,0.7919
